time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
13.2500,90.0860,91.5260,73.0040
13.3333,90.2120,91.6340,73.0040
13.4167,90.3200,91.7420,73.0040
13.5000,90.4280,91.8500,73.0040
13.5833,90.5360,91.9580,73.0040
13.6667,90.6620,92.0480,73.0040
13.7500,90.7700,92.1560,73.0040
13.8333,90.8780,92.2640,73.0040
13.9167,90.9860,92.3720,73.0040
14.0000,91.1120,92.4620,73.0040
14.0833,91.2200,92.5700,73.0040
14.1667,91.3280,92.6780,73.0040
14.2500,91.4360,92.7680,73.0040
14.3333,91.5440,92.8760,73.0040
14.4167,91.6520,92.9840,73.0040
14.5000,91.7780,93.0740,73.0040
14.5833,91.8860,93.1820,73.0040
14.6667,91.9940,93.2720,73.0040
14.7500,92.1020,93.3620,73.0040
14.8333,92.2100,93.4700,73.0040
14.9167,92.3180,93.5600,73.0040
15.0000,92.4260,93.6680,73.0040
15.0833,92.5340,93.7580,73.0040
15.1667,92.6420,93.8480,73.0040
15.2500,92.7500,93.9380,73.0040
15.3333,92.8580,94.0460,73.0040
15.4167,92.9660,94.1360,73.0040
15.5000,93.0740,94.2260,73.0040
15.5833,93.1820,94.3160,73.0040
15.6667,93.2900,94.4060,73.0040
15.7500,93.3980,94.4960,73.0040
15.8333,93.5060,94.5860,73.0040
15.9167,93.6140,94.6940,73.0040
16.0000,93.7220,94.7840,73.0040
16.0833,93.8300,94.8560,73.0040
16.1667,93.9380,94.9460,73.0040
16.2500,94.0460,95.0360,73.0040
16.3333,94.1540,95.1260,73.0040
16.4167,94.2620,95.2160,73.0040
16.5000,94.3700,95.3060,73.0040
16.5833,94.4780,95.3960,73.0040
16.6667,94.5860,95.4860,73.0040
16.7500,94.6940,95.5580,73.0040
16.8333,94.7840,95.6480,73.0040
16.9167,94.8920,95.7380,73.0040
17.0000,95.0000,95.8280,73.0040
17.0833,95.1080,95.9000,73.0040
17.1667,95.2160,95.9900,73.0040
17.2500,95.3240,96.0620,73.0040
17.3333,95.4140,96.1520,73.0040
