time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
13.2500,83.3540,87.5120,73.0040
13.3333,83.4440,87.5480,73.0040
13.4167,83.5340,87.5840,73.0040
13.5000,83.6240,87.6380,73.0040
13.5833,83.7140,87.6740,73.0040
13.6667,83.8040,87.7100,73.0040
13.7500,83.8940,87.7460,73.0040
13.8333,83.9840,87.8000,73.0040
13.9167,84.0740,87.8360,73.0040
14.0000,84.1640,87.8720,73.0040
14.0833,84.2720,87.9080,73.0040
14.1667,84.3620,87.9440,73.0040
14.2500,84.4520,87.9800,73.0040
14.3333,84.5420,88.0160,73.0040
14.4167,84.6320,88.0340,73.0040
14.5000,84.7220,88.0700,73.0040
14.5833,84.8120,88.0880,73.0040
14.6667,84.9020,88.1240,73.0040
14.7500,84.9920,88.1420,73.0040
14.8333,85.0820,88.1600,73.0040
14.9167,85.1720,88.1960,73.0040
15.0000,85.2620,88.2140,73.0040
15.0833,85.3520,88.2320,73.0040
15.1667,85.4600,88.2500,73.0040
15.2500,85.5500,88.2680,73.0040
15.3333,85.6400,88.2860,73.0040
15.4167,85.7300,88.3040,73.0040
15.5000,85.8200,88.3220,73.0040
15.5833,85.9100,88.3580,73.0040
15.6667,86.0000,88.3760,73.0040
15.7500,86.0900,88.3940,73.0040
15.8333,86.1800,88.4480,73.0040
15.9167,86.2700,88.5200,73.0040
16.0000,86.3600,88.6100,73.0040
16.0833,86.4500,88.7000,73.0040
16.1667,86.5400,88.7900,73.0040
16.2500,86.6300,88.8800,73.0040
16.3333,86.7200,88.9520,73.0040
16.4167,86.8100,89.0420,73.0040
16.5000,86.9000,89.1320,73.0040
16.5833,86.9900,89.2220,73.0040
16.6667,87.0800,89.2940,73.0040
16.7500,87.1700,89.3840,73.0040
16.8333,87.2600,89.4740,73.0040
16.9167,87.3500,89.5460,73.0040
17.0000,87.4400,89.6360,73.0040
17.0833,87.5300,89.7080,73.0040
17.1667,87.6200,89.7980,73.0040
17.2500,87.7100,89.8880,73.0040
17.3333,87.8000,89.9600,73.0040
17.4167,87.8900,90.0500,73.0040
17.5000,87.9800,90.1220,73.0040
17.5833,88.0700,90.2120,73.0040
17.6667,88.1600,90.2840,73.0040
17.7500,88.2500,90.3740,73.0040
17.8333,88.3400,90.4460,73.0040
17.9167,88.4300,90.5180,73.0040
18.0000,88.5200,90.6080,73.0040
18.0833,88.6100,90.6800,73.0040
18.1667,88.7000,90.7700,73.0040
18.2500,88.7900,90.8420,73.0040
18.3333,88.8800,90.9140,73.0040
18.4167,88.9700,91.0040,73.0040
18.5000,89.0600,91.0760,73.0040
18.5833,89.1320,91.1480,73.0040
18.6667,89.2220,91.2200,73.0040
18.7500,89.3120,91.3100,73.0040
18.8333,89.4020,91.3820,73.0040
18.9167,89.4920,91.4540,73.0040
19.0000,89.5820,91.5260,73.0040
19.0833,89.6720,91.5980,73.0040
19.1667,89.7620,91.6700,73.0040
19.2500,89.8520,91.7420,73.0040
19.3333,89.9420,91.8320,73.0040
19.4167,90.0140,91.9040,73.0040
19.5000,90.1040,91.9760,73.0040
19.5833,90.1940,92.0480,73.0040
19.6667,90.2840,92.1200,73.0040
19.7500,90.3740,92.1920,73.0040
19.8333,90.4640,92.2640,73.0040
19.9167,90.5540,92.3360,73.0040
20.0000,90.6260,92.4080,73.0040
20.0833,90.7160,92.4800,73.0040
20.1667,90.8060,92.5340,73.0040
20.2500,90.8960,92.6060,73.0040
20.3333,90.9860,92.6780,73.0040
20.4167,91.0760,92.7500,73.0040
20.5000,91.1480,92.8220,73.0040
20.5833,91.2380,92.8940,73.0040
20.6667,91.3280,92.9660,73.0040
20.7500,91.4180,93.0200,73.0040
20.8333,91.5080,93.0920,73.0040
20.9167,91.5800,93.1640,73.0040
21.0000,91.6700,93.2360,73.0040
21.0833,91.7600,93.2900,73.0040
21.1667,91.8500,93.3620,73.0040
21.2500,91.9220,93.4340,73.0040
21.3333,92.0120,93.4880,73.0040
21.4167,92.1020,93.5600,73.0040
21.5000,92.1920,93.6320,73.0040
21.5833,92.2640,93.6860,73.0040
21.6667,92.3540,93.7580,73.0040
21.7500,92.4440,93.8120,73.0040
21.8333,92.5340,93.8840,73.0040
