time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
13.2500,66.5960,72.3920,60.0080
13.3333,66.6860,72.4640,60.0080
13.4167,66.7940,72.5360,60.0080
13.5000,66.9020,72.5900,60.0080
13.5833,67.0100,72.6620,60.0080
13.6667,67.1180,72.7340,60.0080
13.7500,67.2260,72.8060,60.0080
13.8333,67.3340,72.8600,60.0080
13.9167,67.4420,72.9320,60.0080
14.0000,67.5500,73.0040,60.0080
14.0833,67.6580,73.0580,60.0080
14.1667,67.7660,73.1300,60.0080
14.2500,67.8740,73.1840,60.0080
14.3333,67.9820,73.2380,60.0080
14.4167,68.0900,73.3100,60.0080
14.5000,68.1980,73.3640,60.0080
14.5833,68.3060,73.4180,60.0080
14.6667,68.4140,73.4720,60.0080
14.7500,68.5220,73.5260,60.0080
14.8333,68.6480,73.5800,60.0080
14.9167,68.7560,73.6160,60.0080
15.0000,68.8640,73.6700,60.0080
15.0833,68.9720,73.7240,60.0080
15.1667,69.0980,73.7600,60.0080
15.2500,69.2060,73.8140,60.0080
15.3333,69.3140,73.8500,60.0080
15.4167,69.4400,73.9040,60.0080
15.5000,69.5480,73.9580,60.0080
15.5833,69.6560,74.0120,60.0080
15.6667,69.7820,74.0480,60.0080
15.7500,69.8900,74.1020,60.0080
15.8333,69.9980,74.1560,60.0080
15.9167,70.1240,74.2100,60.0080
16.0000,70.2320,74.2460,60.0080
16.0833,70.3580,74.3000,60.0080
16.1667,70.4660,74.3540,60.0080
16.2500,70.5920,74.4080,60.0080
16.3333,70.7000,74.4440,60.0080
16.4167,70.8260,74.4980,60.0080
16.5000,70.9340,74.5520,60.0080
16.5833,71.0600,74.5880,60.0080
16.6667,71.1680,74.6420,60.0080
16.7500,71.2940,74.6780,60.0080
16.8333,71.4200,74.7320,60.0080
16.9167,71.5280,74.7860,60.0080
17.0000,71.6540,74.8220,60.0080
17.0833,71.7620,74.8760,60.0080
17.1667,71.8880,74.9120,60.0080
17.2500,72.0140,74.9660,60.0080
17.3333,72.1220,75.0020,60.0080
17.4167,72.2480,75.0380,60.0080
17.5000,72.3740,75.1280,60.0080
17.5833,72.4820,75.2360,60.0080
17.6667,72.6080,75.3620,60.0080
17.7500,72.7340,75.4700,60.0080
17.8333,72.8420,75.5960,60.0080
17.9167,72.9680,75.7040,60.0080
18.0000,73.0940,75.8300,60.0080
18.0833,73.2020,75.9380,60.0080
18.1667,73.3280,76.0640,60.0080
18.2500,73.4540,76.1720,60.0080
18.3333,73.5800,76.2800,60.0080
18.4167,73.6880,76.4060,60.0080
18.5000,73.8140,76.5140,60.0080
18.5833,73.9400,76.6400,60.0080
18.6667,74.0660,76.7480,60.0080
18.7500,74.1740,76.8560,60.0080
18.8333,74.3000,76.9820,60.0080
18.9167,74.4260,77.0900,60.0080
19.0000,74.5520,77.1980,60.0080
19.0833,74.6780,77.3240,60.0080
19.1667,74.7860,77.4320,60.0080
19.2500,74.9120,77.5400,60.0080
19.3333,75.0380,77.6480,60.0080
19.4167,75.1640,77.7740,60.0080
19.5000,75.2900,77.8820,60.0080
19.5833,75.3980,77.9900,60.0080
19.6667,75.5240,78.0980,60.0080
19.7500,75.6500,78.2060,60.0080
19.8333,75.7760,78.3320,60.0080
19.9167,75.9020,78.4400,60.0080
20.0000,76.0100,78.5480,60.0080
20.0833,76.1360,78.6560,60.0080
20.1667,76.2620,78.7640,60.0080
20.2500,76.3880,78.8720,60.0080
20.3333,76.5140,78.9800,60.0080
20.4167,76.6400,79.0880,60.0080
20.5000,76.7480,79.1960,60.0080
20.5833,76.8740,79.3040,60.0080
20.6667,77.0000,79.4120,60.0080
20.7500,77.1260,79.5200,60.0080
20.8333,77.2520,79.6280,60.0080
20.9167,77.3780,79.7360,60.0080
21.0000,77.5040,79.8440,60.0080
21.0833,77.6120,79.9520,60.0080
21.1667,77.7380,80.0600,60.0080
21.2500,77.8640,80.1500,60.0080
21.3333,77.9900,80.2580,60.0080
21.4167,78.1160,80.3660,60.0080
21.5000,78.2420,80.4740,60.0080
21.5833,78.3500,80.5820,60.0080
21.6667,78.4760,80.6720,60.0080
21.7500,78.6020,80.7800,60.0080
21.8333,78.7280,80.8880,60.0080
21.9167,78.8540,80.9780,60.0080
22.0000,78.9620,81.0860,60.0080
22.0833,79.0880,81.1940,60.0080
22.1667,79.2140,81.2840,60.0080
22.2500,79.3400,81.3920,60.0080
22.3333,79.4660,81.4820,60.0080
22.4167,79.5920,81.5900,60.0080
22.5000,79.7000,81.6800,60.0080
22.5833,79.8260,81.7880,60.0080
22.6667,79.9520,81.8780,60.0080
22.7500,80.0780,81.9860,60.0080
22.8333,80.2040,82.0760,60.0080
22.9167,80.3120,82.1840,60.0080
23.0000,80.4380,82.2740,60.0080
23.0833,80.5640,82.3640,60.0080
23.1667,80.6900,82.4720,60.0080
23.2500,80.7980,82.5620,60.0080
23.3333,80.9240,82.6520,60.0080
23.4167,81.0500,82.7420,60.0080
23.5000,81.1760,82.8500,60.0080
23.5833,81.3020,82.9400,60.0080
23.6667,81.4100,83.0300,60.0080
23.7500,81.5360,83.1200,60.0080
23.8333,81.6620,83.2100,60.0080
23.9167,81.7700,83.3180,60.0080
24.0000,81.8960,83.4080,60.0080
24.0833,82.0220,83.4980,60.0080
24.1667,82.1480,83.5880,60.0080
24.2500,82.2560,83.6780,60.0080
24.3333,82.3820,83.7680,60.0080
24.4167,82.5080,83.8580,60.0080
24.5000,82.6160,83.9480,60.0080
24.5833,82.7420,84.0380,60.0080
24.6667,82.8680,84.1460,60.0080
24.7500,82.9760,84.2540,60.0080
24.8333,83.1020,84.3800,60.0080
24.9167,83.2280,84.4880,60.0080
25.0000,83.3360,84.6140,60.0080
25.0833,83.4620,84.7220,60.0080
25.1667,83.5880,84.8480,60.0080
25.2500,83.6960,84.9560,60.0080
25.3333,83.8220,85.0820,60.0080
25.4167,83.9480,85.1900,60.0080
25.5000,84.0560,85.3160,60.0080
25.5833,84.1820,85.4240,60.0080
25.6667,84.2900,85.5500,60.0080
25.7500,84.4160,85.6580,60.0080
25.8333,84.5420,85.7660,60.0080
25.9167,84.6500,85.8920,60.0080
26.0000,84.7760,86.0000,60.0080
26.0833,84.8840,86.1080,60.0080
26.1667,85.0100,86.2340,60.0080
26.2500,85.1180,86.3420,60.0080
26.3333,85.2440,86.4500,60.0080
26.4167,85.3520,86.5760,60.0080
