time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0040,73.7060,73.0040
0.5000,73.0040,73.8320,73.0040
0.5833,73.0040,73.9580,73.0040
0.6667,73.0040,74.0840,73.0040
0.7500,73.0040,74.2100,73.0040
0.8333,73.0040,74.3360,73.0040
0.9167,73.0040,74.4440,73.0040
1.0000,73.0040,74.5700,73.0040
1.0833,73.0040,74.6780,73.0040
1.1667,73.0040,74.7860,73.0040
1.2500,73.0040,74.8940,73.0040
1.3333,73.0040,75.0020,73.0040
1.4167,73.0040,75.0920,73.0040
1.5000,73.0040,75.2000,73.0040
1.5833,73.0040,75.2900,73.0040
1.6667,73.0040,75.3980,73.0040
1.7500,73.0040,75.4880,73.0040
1.8333,73.0040,75.5780,73.0040
1.9167,73.0040,75.6680,73.0040
2.0000,73.0040,75.7580,73.0040
2.0833,73.0040,75.8480,73.0040
2.1667,73.0040,75.9380,73.0040
2.2500,73.0040,76.0280,73.0040
2.3333,73.0040,76.1000,73.0040
2.4167,73.0040,76.1900,73.0040
2.5000,73.0040,76.2800,73.0040
2.5833,73.0040,76.3520,73.0040
2.6667,73.0220,76.4420,73.0040
2.7500,73.0220,76.5140,73.0040
2.8333,73.0220,76.6040,73.0040
2.9167,73.0220,76.6760,73.0040
3.0000,73.0400,76.7660,73.0040
3.0833,73.0400,76.8380,73.0040
3.1667,73.0580,76.9280,73.0040
3.2500,73.0580,77.0000,73.0040
3.3333,73.0760,77.0900,73.0040
3.4167,73.0940,77.1620,73.0040
3.5000,73.0940,77.2520,73.0040
3.5833,73.1120,77.3240,73.0040
3.6667,73.1300,77.4140,73.0040
3.7500,73.1480,77.5040,73.0040
3.8333,73.1660,77.5760,73.0040
3.9167,73.1840,77.6660,73.0040
4.0000,73.2200,77.7560,73.0040
4.0833,73.2380,77.8460,73.0040
4.1667,73.2560,77.9360,73.0040
4.2500,73.2920,78.0080,73.0040
4.3333,73.3280,78.0980,73.0040
4.4167,73.3460,78.1880,73.0040
4.5000,73.3820,78.2960,73.0040
4.5833,73.4180,78.3860,73.0040
4.6667,73.4540,78.4760,73.0040
4.7500,73.4900,78.5660,73.0040
4.8333,73.5440,78.6560,73.0040
4.9167,73.5800,78.7640,73.0040
5.0000,73.6340,78.8540,73.0040
5.0833,73.6700,78.9620,73.0040
5.1667,73.7240,79.0520,73.0040
5.2500,73.7780,79.1600,73.0040
5.3333,73.8320,79.2680,73.0040
5.4167,73.8860,79.3580,73.0040
5.5000,73.9400,79.4660,73.0040
5.5833,73.9940,79.5740,73.0040
5.6667,74.0660,79.6820,73.0040
5.7500,74.1200,79.7720,73.0040
5.8333,74.1920,79.8800,73.0040
5.9167,74.2460,79.9880,73.0040
6.0000,74.3180,80.0960,73.0040
6.0833,74.3900,80.2040,73.0040
6.1667,74.4620,80.3120,73.0040
6.2500,74.5340,80.4380,73.0040
6.3333,74.6060,80.5460,73.0040
6.4167,74.6960,80.6540,73.0040
6.5000,74.7680,80.7620,73.0040
6.5833,74.8400,80.8880,73.0040
6.6667,74.9300,80.9960,73.0040
6.7500,75.0200,81.1220,73.0040
6.8333,75.1100,81.2300,73.0040
6.9167,75.1820,81.3560,73.0040
7.0000,75.2720,81.4820,73.0040
7.0833,75.3620,81.5900,73.0040
7.1667,75.4700,81.7160,73.0040
7.2500,75.5600,81.8240,73.0040
7.3333,75.6500,81.9500,73.0040
7.4167,75.7580,82.0760,73.0040
