time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
11.5833,80.8340,80.8340,73.0040
11.6667,80.8520,80.8520,73.0040
11.7500,80.8700,80.8700,73.0040
11.8333,80.8880,80.8880,73.0040
11.9167,80.9060,80.9060,73.0040
12.0000,80.9420,80.9420,73.0040
12.0833,80.9600,80.9600,73.0040
12.1667,80.9780,80.9780,73.0040
12.2500,80.9960,80.9960,73.0040
12.3333,81.0140,81.0140,73.0040
12.4167,81.0320,81.0320,73.0040
12.5000,81.0320,81.0320,73.0040
12.5833,81.0500,81.0500,73.0040
12.6667,81.0680,81.0680,73.0040
12.7500,81.0860,81.0860,73.0040
12.8333,81.1040,81.1040,73.0040
12.9167,81.1040,81.1040,73.0040
13.0000,81.1220,81.1220,73.0040
13.0833,81.1400,81.1400,73.0040
13.1667,81.1580,81.1580,73.0040
13.2500,81.1580,81.1580,73.0040
13.3333,81.1760,81.1760,73.0040
13.4167,81.1940,81.1940,73.0040
13.5000,81.1940,81.1940,73.0040
13.5833,81.2120,81.2120,73.0040
13.6667,81.2300,81.2300,73.0040
13.7500,81.2300,81.2300,73.0040
13.8333,81.2480,81.2480,73.0040
13.9167,81.2660,81.2660,73.0040
14.0000,81.2660,81.2660,73.0040
14.0833,81.2840,81.2840,73.0040
14.1667,81.3020,81.3020,73.0040
14.2500,81.3020,81.3020,73.0040
14.3333,81.3200,81.3200,73.0040
14.4167,81.3200,81.3200,73.0040
14.5000,81.3380,81.3380,73.0040
14.5833,81.3380,81.3380,73.0040
14.6667,81.3380,81.3380,73.0040
14.7500,81.3380,81.3380,73.0040
14.8333,81.3560,81.3560,73.0040
14.9167,81.3560,81.3560,73.0040
15.0000,81.3560,81.3560,73.0040
15.0833,81.3560,81.3560,73.0040
15.1667,81.3560,81.3560,73.0040
15.2500,81.3740,81.3740,73.0040
15.3333,81.3740,81.3740,73.0040
15.4167,81.3740,81.3740,73.0040
15.5000,81.3740,81.3740,73.0040
15.5833,81.3920,81.3920,73.0040
15.6667,81.3920,81.3920,73.0040
15.7500,81.3920,81.3920,73.0040
15.8333,81.3920,81.3920,73.0040
15.9167,81.4100,81.4100,73.0040
16.0000,81.4100,81.4100,73.0040
16.0833,81.4100,81.4100,73.0040
16.1667,81.4280,81.4280,73.0040
16.2500,81.4280,81.4280,73.0040
16.3333,81.4280,81.4280,73.0040
16.4167,81.4460,81.4460,73.0040
16.5000,81.4460,81.4460,73.0040
16.5833,81.4460,81.4460,73.0040
16.6667,81.4460,81.4460,73.0040
16.7500,81.4640,81.4640,73.0040
16.8333,81.4640,81.4640,73.0040
16.9167,81.4640,81.4640,73.0040
17.0000,81.4820,81.4820,73.0040
17.0833,81.4820,81.4820,73.0040
17.1667,81.4820,81.4820,73.0040
17.2500,81.4820,81.4820,73.0040
17.3333,81.5000,81.5000,73.0040
17.4167,81.5000,81.5000,73.0040
17.5000,81.5000,81.5000,73.0040
17.5833,81.5000,81.5000,73.0040
17.6667,81.5000,81.5000,73.0040
17.7500,81.5000,81.5000,73.0040
17.8333,81.5180,81.5180,73.0040
17.9167,81.5180,81.5180,73.0040
18.0000,81.5180,81.5180,73.0040
18.0833,81.5180,81.5180,73.0040
18.1667,81.5180,81.5180,73.0040
18.2500,81.5180,81.5180,73.0040
18.3333,81.5180,81.5180,73.0040
18.4167,81.5180,81.5180,73.0040
18.5000,81.5360,81.5360,73.0040
18.5833,81.5360,81.5360,73.0040
18.6667,81.5360,81.5360,73.0040
18.7500,81.5360,81.5360,73.0040
18.8333,81.5360,81.5360,73.0040
18.9167,81.5360,81.5360,73.0040
19.0000,81.5360,81.5360,73.0040
19.0833,81.5360,81.5360,73.0040
19.1667,81.5360,81.5360,73.0040
19.2500,81.5360,81.5360,73.0040
19.3333,81.5360,81.5360,73.0040
19.4167,81.5360,81.5360,73.0040
19.5000,81.5360,81.5360,73.0040
19.5833,81.5540,81.5540,73.0040
19.6667,81.5540,81.5540,73.0040
19.7500,81.5540,81.5540,73.0040
19.8333,81.5540,81.5540,73.0040
19.9167,81.5540,81.5540,73.0040
20.0000,81.5540,81.5540,73.0040
20.0833,81.5540,81.5540,73.0040
20.1667,81.5540,81.5540,73.0040
20.2500,81.5540,81.5540,73.0040
20.3333,81.5540,81.5540,73.0040
20.4167,81.5540,81.5540,73.0040
20.5000,81.5540,81.5540,73.0040
20.5833,81.5540,81.5540,73.0040
20.6667,81.5540,81.5540,73.0040
20.7500,81.5540,81.5540,73.0040
20.8333,81.5540,81.5540,73.0040
20.9167,81.5540,81.5540,73.0040
21.0000,81.5540,81.5540,73.0040
21.0833,81.5540,81.5540,73.0040
21.1667,81.5540,81.5540,73.0040
21.2500,81.5540,81.5540,73.0040
21.3333,81.5540,81.5540,73.0040
21.4167,81.5540,81.5540,73.0040
21.5000,81.5540,81.5540,73.0040
21.5833,81.5540,81.5540,73.0040
21.6667,81.5540,81.5540,73.0040
21.7500,81.5360,81.5360,73.0040
21.8333,81.5360,81.5360,73.0040
21.9167,81.5360,81.5360,73.0040
22.0000,81.5360,81.5360,73.0040
22.0833,81.5360,81.5360,73.0040
22.1667,81.5360,81.5360,73.0040
22.2500,81.5180,81.5180,73.0040
22.3333,81.5180,81.5180,73.0040
22.4167,81.5180,81.5180,73.0040
22.5000,81.5180,81.5180,73.0040
22.5833,81.5180,81.5180,73.0040
22.6667,81.5180,81.5180,73.0040
22.7500,81.5180,81.5180,73.0040
22.8333,81.5180,81.5180,73.0040
22.9167,81.5000,81.5000,73.0040
23.0000,81.5000,81.5000,73.0040
23.0833,81.5000,81.5000,73.0040
23.1667,81.5000,81.5000,73.0040
23.2500,81.5000,81.5000,73.0040
23.3333,81.5000,81.5000,73.0040
