time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0040,73.7060,73.0040
0.5000,73.0040,73.8320,73.0040
0.5833,73.0040,73.9580,73.0040
0.6667,73.0040,74.0840,73.0040
0.7500,73.0040,74.2100,73.0040
0.8333,73.0040,74.3360,73.0040
0.9167,73.0040,74.4440,73.0040
1.0000,73.0040,74.5700,73.0040
1.0833,73.0040,74.6780,73.0040
1.1667,73.0040,74.7860,73.0040
1.2500,73.0040,74.8940,73.0040
1.3333,73.0040,75.0020,73.0040
1.4167,73.0040,75.0920,73.0040
1.5000,73.0040,75.2000,73.0040
1.5833,73.0040,75.2900,73.0040
1.6667,73.0040,75.3980,73.0040
1.7500,73.0040,75.4880,73.0040
1.8333,73.0040,75.5780,73.0040
1.9167,73.0040,75.6680,73.0040
2.0000,73.0040,75.7580,73.0040
2.0833,73.0040,75.8480,73.0040
2.1667,73.0040,75.9380,73.0040
2.2500,73.0040,76.0280,73.0040
2.3333,73.0040,76.1000,73.0040
2.4167,73.0040,76.1900,73.0040
2.5000,73.0040,76.2800,73.0040
2.5833,73.0040,76.3520,73.0040
2.6667,73.0220,76.4420,73.0040
2.7500,73.0220,76.5140,73.0040
2.8333,73.0220,76.6040,73.0040
2.9167,73.0400,76.6940,73.0040
3.0000,73.0400,76.7660,73.0040
3.0833,73.0580,76.8560,73.0040
3.1667,73.0760,76.9460,73.0040
3.2500,73.0940,77.0360,73.0040
3.3333,73.1120,77.1260,73.0040
3.4167,73.1300,77.2340,73.0040
3.5000,73.1480,77.3240,73.0040
3.5833,73.1840,77.4140,73.0040
3.6667,73.2020,77.5220,73.0040
3.7500,73.2380,77.6300,73.0040
3.8333,73.2740,77.7380,73.0040
3.9167,73.3280,77.8460,73.0040
4.0000,73.3640,77.9540,73.0040
4.0833,73.4180,78.0800,73.0040
4.1667,73.4720,78.2060,73.0040
4.2500,73.5260,78.3140,73.0040
4.3333,73.5980,78.4580,73.0040
4.4167,73.6520,78.5840,73.0040
4.5000,73.7240,78.7100,73.0040
4.5833,73.8140,78.8540,73.0040
4.6667,73.8860,78.9980,73.0040
4.7500,73.9760,79.1420,73.0040
4.8333,74.0660,79.3040,73.0040
4.9167,74.1560,79.4480,73.0040
5.0000,74.2640,79.6100,73.0040
5.0833,74.3540,79.7720,73.0040
5.1667,74.4800,79.9520,73.0040
5.2500,74.5880,80.1140,73.0040
5.3333,74.7140,80.2940,73.0040
5.4167,74.8220,80.4560,73.0040
5.5000,74.9660,80.6360,73.0040
5.5833,75.0920,80.8160,73.0040
5.6667,75.2360,81.0140,73.0040
5.7500,75.3800,81.1940,73.0040
5.8333,75.5240,81.3920,73.0040
5.9167,75.6680,81.5900,73.0040
6.0000,75.8300,81.7700,73.0040
6.0833,75.9920,81.9860,73.0040
6.1667,76.1540,82.1840,73.0040
6.2500,76.3340,82.3820,73.0040
6.3333,76.5140,82.5980,73.0040
6.4167,76.6940,82.7960,73.0040
6.5000,76.8740,83.0120,73.0040
6.5833,77.0540,83.2280,73.0040
6.6667,77.2520,83.4440,73.0040
6.7500,77.4500,83.6600,73.0040
6.8333,77.6480,83.8940,73.0040
6.9167,77.8460,84.1100,73.0040
7.0000,78.0620,84.3260,73.0040
7.0833,78.2780,84.5600,73.0040
7.1667,78.4940,84.7940,73.0040
7.2500,78.7100,85.0100,73.0040
7.3333,78.9260,85.2440,73.0040
7.4167,79.1600,85.4780,73.0040
