time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,75.0000,75.0020,-0.00200
0.1667,75.0000,75.0020,-0.00200
0.2500,75.0000,75.0020,-0.00200
0.3333,75.0000,75.0020,-0.00200
0.4167,75.0000,75.0020,-0.00200
0.5000,75.0000,75.0020,-0.00200
0.5833,75.0000,75.0020,-0.00200
0.6667,75.0000,75.0020,-0.00200
0.7500,75.0000,75.0020,-0.00200
0.8333,75.0000,75.0020,-0.00200
0.9167,75.0000,75.0020,-0.00200
1.0000,75.0000,75.0020,-0.00200
1.0833,75.0000,75.0020,-0.00200
1.1667,75.0000,75.0020,-0.00200
1.2500,75.0000,75.0020,-0.00199
1.3333,75.0000,75.0020,-0.00197
1.4167,75.0001,75.0020,-0.00195
1.5000,75.0001,75.0020,-0.00189
1.5833,75.0002,75.0020,-0.00180
1.6667,75.0004,75.0020,-0.00164
1.7500,75.0006,75.0020,-0.00140
1.8333,75.0010,75.0020,-0.00105
1.9167,75.0015,75.0020,-0.00053
2.0000,75.0022,75.0020,0.00019
2.0833,75.0032,75.0020,0.00117
2.1667,75.0045,75.0020,0.00247
2.2500,75.0062,75.0020,0.00415
2.3333,75.0083,75.0020,0.00629
2.4167,75.0110,75.0020,0.00896
2.5000,75.0142,75.0200,-0.00577
2.5833,75.0182,75.0200,-0.00180
2.6667,75.0229,75.0200,0.00295
2.7500,75.0285,75.0200,0.00855
2.8333,75.0351,75.0380,-0.00290
2.9167,75.0427,75.0380,0.00468
3.0000,75.0514,75.0560,-0.00462
3.0833,75.0613,75.0560,0.00526
3.1667,75.0724,75.0740,-0.00156
3.2500,75.0850,75.0740,0.01096
3.3333,75.0989,75.0920,0.00690
3.4167,75.1144,75.1100,0.00436
3.5000,75.1314,75.1280,0.00337
3.5833,75.1500,75.1460,0.00400
3.6667,75.1703,75.1640,0.00635
3.7500,75.1924,75.1820,0.01041
3.8333,75.2163,75.2180,-0.00174
3.9167,75.2420,75.2360,0.00597
4.0000,75.2695,75.2540,0.01554
4.0833,75.2990,75.2900,0.00903
4.1667,75.3305,75.3260,0.00450
4.2500,75.3639,75.3620,0.00192
4.3333,75.3993,75.3980,0.00134
4.4167,75.4368,75.4340,0.00284
4.5000,75.4763,75.4700,0.00635
4.5833,75.5179,75.5060,0.01192
4.6667,75.5616,75.5600,0.00161
4.7500,75.6073,75.5960,0.01135
4.8333,75.6552,75.6500,0.00518
4.9167,75.7052,75.6860,0.01916
5.0000,75.7572,75.7400,0.01718
5.0833,75.8113,75.7940,0.01730
5.1667,75.8676,75.8480,0.01958
5.2500,75.9259,75.9200,0.00588
5.3333,75.9863,75.9740,0.01226
5.4167,76.0488,76.0460,0.00279
5.5000,76.1133,76.1000,0.01330
5.5833,76.1799,76.1720,0.00786
5.6667,76.2485,76.2440,0.00453
5.7500,76.3191,76.3160,0.00313
5.8333,76.3917,76.3880,0.00374
5.9167,76.4664,76.4600,0.00641
6.0000,76.5430,76.5320,0.01096
6.0833,76.6214,76.6040,0.01745
6.1667,76.7020,76.6940,0.00796
6.2500,76.7843,76.7840,0.00027
6.3333,76.8685,76.8560,0.01245
6.4167,76.9546,76.9460,0.00860
6.5000,77.0425,77.0360,0.00647
6.5833,77.1322,77.1260,0.00615
6.6667,77.2237,77.2160,0.00773
6.7500,77.3169,77.3060,0.01095
6.8333,77.4119,77.4140,-0.00210
6.9167,77.5087,77.5040,0.00468
7.0000,77.6070,77.5940,0.01302
7.0833,77.7070,77.7020,0.00502
7.1667,77.8088,77.8100,-0.00123
7.2500,77.9120,77.9180,-0.00600
7.3333,78.0168,78.0080,0.00881
7.4167,78.1233,78.1160,0.00730
7.5000,78.2312,78.2240,0.00719
7.5833,78.3406,78.3320,0.00858
7.6667,78.4516,78.4580,-0.00642
7.7500,78.5639,78.5660,-0.00211
7.8333,78.6776,78.6740,0.00362
7.9167,78.7929,78.8000,-0.00711
8.0000,78.9094,78.9080,0.00139
8.0833,79.0272,79.0340,-0.00676
8.1667,79.1466,79.1600,-0.01345
8.2500,79.2670,79.2680,-0.00098
8.3333,79.3888,79.3940,-0.00525
8.4167,79.5119,79.5200,-0.00812
8.5000,79.6361,79.6460,-0.00992
8.5833,79.7615,79.7720,-0.01052
8.6667,79.8882,79.8980,-0.00979
8.7500,80.0159,80.0240,-0.00807
8.8333,80.1448,80.1680,-0.02323
8.9167,80.2749,80.2940,-0.01912
9.0000,80.4059,80.4200,-0.01410
9.0833,80.5380,80.5640,-0.02602
9.1667,80.6713,80.6900,-0.01874
9.2500,80.8054,80.8340,-0.02862
9.3333,80.9405,80.9600,-0.01950
9.4167,81.0767,81.1040,-0.02726
9.5000,81.2138,81.2300,-0.01623
9.5833,81.3517,81.3740,-0.02228
9.6667,81.4907,81.5180,-0.02726
9.7500,81.6305,81.6620,-0.03153
9.8333,81.7711,81.8060,-0.03494
9.9167,81.9127,81.9500,-0.03733
10.0000,82.0549,82.0940,-0.03908
10.0833,82.1980,82.2380,-0.04002
